nr;naam;website;platform;redesign_score;actief_score;totaalscore;redesign_signalen;activiteit_signalen;advies
44;W.Coenen Hovenier Schijndel;https://hovenier-schijndel.webnode.nl/;Webnode;64;72;68;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
45;Vormselcatechesewelle | vormselcatechesewelle.jouwweb.be;https://vormselcatechesewelle.jouwweb.be/;JouwWeb;52;85;67;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | klassieke homepage-opbouw;site bereikbaar | recent jaartal op site | contactblok aanwezig | e-mailadres zichtbaar | zakelijke/operationele info | social/map-link aanwezig | bedrijf/zakelijk taalgebruik | offerte/aanvraag;Mogelijke lead: korte check doen
46;D.R. Visser Timmerwerken;https://drvissertimmerwerken.webnode.nl/;Webnode;64;70;67;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | e-mailadres zichtbaar | telefoonnummer zichtbaar | zakelijke/operationele info | offerte/aanvraag;Hot lead: eerst actief verifiëren, daarna benaderen
47;Noort Elektrotechniek BV;https://noort.webnode.nl/;Webnode;64;70;67;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
48;Starchild FENE | nieuwetijdskinderen.jouwweb.be;https://nieuwetijdskinderen.jouwweb.be/;JouwWeb;46;88;65;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar;site bereikbaar | recent jaartal op site | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | offerte/aanvraag | brancheterm;Mogelijke lead: korte check doen
49;Delicious Cupcakes & Taarten | delicious-cupcakes-taarten.jouwweb.nl;https://delicious-cupcakes-taarten.jouwweb.nl/;JouwWeb;52;80;65;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | klassieke homepage-opbouw;site bereikbaar | recent jaartal op site | contactblok aanwezig | zakelijke/operationele info | offerte/aanvraag | brancheterm;Mogelijke lead: korte check doen
50;Vaargroep Groningen;https://vaargroepgroningen-nl.webnode.nl/;Webnode;64;66;65;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | recent jaartal op site | contactblok aanwezig | telefoonnummer zichtbaar | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
52;DAKKAPELLEN GOEDKOPER;https://dakkapel.jouwweb.nl/;JouwWeb;46;86;64;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar;site bereikbaar | recent jaartal op site | contactblok aanwezig | e-mailadres zichtbaar | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Mogelijke lead: korte check doen
53;BUSREIZEN | busreizen.jouwweb.be;https://busreizen.jouwweb.be/;JouwWeb;46;86;64;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar;site bereikbaar | recent jaartal op site | contactblok aanwezig | e-mailadres zichtbaar | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Mogelijke lead: korte check doen
59;HOME | adatto.jouwweb.nl;https://adatto.jouwweb.nl/;JouwWeb;52;76;63;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | klassieke homepage-opbouw;site bereikbaar | recent jaartal op site | contactblok aanwezig | telefoonnummer zichtbaar | bedrijf/zakelijk taalgebruik | offerte/aanvraag;Mogelijke lead: korte check doen
